timestamp,market_cap,total_coins,avg_price,realized_price,mvrv_ratio,high,low,close
2023-09-06,502012292925.0,19478225.0,25773.0,26600.04,0.9689,25953.02,25404.36,25753.24
2023-09-08,511994742575.0,19479331.25,26284.0,26645.39,0.9864,26414.01,25677.48,25905.65
2023-09-09,503686192000.0,19480437.5,25856.0,26687.34,0.9688,25921.98,25810.49,25895.68
2023-09-10,502097827068.75,19481543.75,25773.0,26725.4,0.9644,25978.13,25640.26,25832.23
2023-09-11,487826073350.0,19482650.0,25039.0,26755.98,0.9358,25883.95,24930.3,25162.65
2023-09-13,504629286875.0,19483756.25,25900.0,26780.94,0.9671,26376.11,25781.12,26228.32
2023-09-14,511029488787.5,19484862.5,26227.0,26807.65,0.9783,26774.62,26171.45,26539.67
2023-09-15,518794432000.0,19485968.75,26624.0,26835.28,0.9921,26840.5,26240.7,26608.69
2023-09-16,517771582750.0,19487075.0,26570.0,26861.56,0.9891,26754.77,26473.89,26568.28
2023-09-17,517742511268.75,19488181.25,26567.0,26890.44,0.988,26618.0,26445.07,26534.19
2023-09-18,530264704350.0,19489293.75,27208.0,26921.86,1.0106,27414.73,26415.52,26754.28
2023-09-19,529729751468.75,19490406.25,27179.0,26941.3,1.0088,27488.76,26681.61,27211.12
2023-09-21,529077615300.0,19491512.5,27144.0,26964.14,1.0067,27152.94,26389.3,26567.63
2023-09-22,519400319212.5,19492618.75,26646.0,26981.76,0.9876,26726.08,26495.53,26579.57
2023-09-23,518630553625.0,19493725.0,26605.0,27001.3,0.9853,26634.19,26520.52,26579.39
2023-09-24,518757625875.0,19494837.5,26610.0,27019.36,0.9848,26716.06,26221.05,26256.83
2023-09-25,513230719218.75,19495943.75,26325.0,27036.24,0.9737,26421.51,26011.47,26298.48
2023-09-27,512148509400.0,19497050.0,26268.0,27052.42,0.971,26817.84,26111.46,26352.72
2023-09-28,515648405475.0,19498162.5,26446.0,27066.51,0.9771,27259.5,26327.32,27021.55
2023-09-29,525076477200.0,19499275.0,26928.0,27087.63,0.9941,27225.94,26721.76,26911.72
2023-09-30,528148495050.0,19500387.5,27084.0,27108.06,0.9991,27091.79,26888.97,26967.92
2023-10-02,546490359356.25,19501493.75,28023.0,27129.11,1.0329,28494.46,27347.79,27530.79
2023-10-03,538973853600.0,19502600.0,27636.0,27150.01,1.0179,27667.19,27216.0,27429.98
2023-10-04,536683484881.25,19503706.25,27517.0,27170.8,1.0127,27826.66,27248.11,27799.39
2023-10-05,536031257125.0,19504812.5,27482.0,27193.96,1.0106,28091.86,27375.6,27415.91
2023-10-06,544761298850.0,19505918.75,27928.0,27218.78,1.0261,28252.54,27215.55,27946.6
2023-10-07,544616630975.0,19507025.0,27919.0,27243.92,1.0248,28028.09,27870.42,27968.84
2023-10-09,545174585237.5,19508143.75,27946.0,27274.66,1.0246,27989.47,27302.56,27583.68
2023-10-10,540074567750.0,19509250.0,27683.0,27304.69,1.0139,27715.85,27301.65,27391.02
2023-10-11,528594251212.5,19510362.5,27093.0,27331.1,0.9913,27474.12,26561.1,26873.32
2023-10-12,522243972562.5,19511468.75,26766.0,27356.72,0.9784,26921.44,26558.32,26756.8
2023-10-13,522156507000.0,19512575.0,26760.0,27381.9,0.9773,27092.7,26686.32,26862.38
2023-10-14,524937707437.5,19513687.5,26901.0,27399.92,0.9818,26969.0,26814.59,26861.71
2023-10-15,528558358000.0,19514800.0,27085.0,27411.18,0.9881,27289.17,26817.89,27159.65
2023-10-17,553744501275.0,19515912.5,28374.0,27428.88,1.0345,28618.75,28110.19,28415.75
2023-10-18,558050653237.5,19517037.5,28593.0,27448.7,1.0417,28889.01,28174.25,28328.34
2023-10-19,554783895600.0,19518150.0,28424.0,27469.4,1.0348,28892.47,28177.99,28719.81
2023-10-20,575291407868.75,19519268.75,29473.0,27492.4,1.072,30104.09,28601.67,29682.95
2023-10-22,584889183393.75,19520381.25,29963.0,27522.22,1.0887,30199.43,29720.31,29993.9
2023-10-23,597982205100.0,19521487.5,30632.0,27554.14,1.1117,34370.44,30097.83,33086.23
2023-10-24,659122021200.0,19522600.0,33762.0,27603.96,1.2231,35150.43,32880.76,33901.53
2023-10-25,680713760025.0,19523712.5,34866.0,27662.0,1.2604,35133.76,33709.11,34502.82
2023-10-26,666792085131.25,19524818.75,34151.0,27714.98,1.2322,34832.91,33762.32,34156.65
2023-10-28,662885840006.25,19525931.25,33949.0,27767.94,1.2226,34399.39,33874.8,34089.57
2023-10-29,663919487500.0,19527043.75,34000.0,27819.89,1.2221,34743.26,33947.57,34538.48
2023-10-30,673545852787.5,19528162.5,34491.0,27875.21,1.2373,34843.93,34110.97,34502.36
2023-10-31,674580001162.5,19529268.75,34542.0,27936.69,1.2364,34719.25,34083.31,34667.78
2023-11-01,669208299375.0,19530375.0,34265.0,27995.18,1.224,35527.93,34170.69,35437.25
2023-11-02,679344415612.5,19531493.75,34782.0,28057.29,1.2397,35919.84,34401.57,34938.24
2023-11-04,676843655200.0,19532600.0,34652.0,28118.52,1.2324,35256.03,34616.69,35082.2
2023-11-05,688192445281.25,19533718.75,35231.0,28184.68,1.25,35340.34,34594.24,35049.36
2023-11-06,688231419575.0,19534825.0,35231.0,28259.1,1.2467,35286.03,34765.36,35037.37
2023-11-07,692529226881.25,19535931.25,35449.0,28334.02,1.2511,35892.42,34545.82,35443.56
2023-11-09,699211035087.5,19537037.5,35789.0,28410.9,1.2597,37926.26,35592.1,36693.12
2023-11-10,717499482450.0,19538150.0,36723.0,28484.42,1.2892,37493.8,36362.75,37313.97
2023-11-11,723499811850.0,19539262.5,37028.0,28539.27,1.2974,37407.09,36773.67,37138.05
2023-11-12,725065386662.5,19540381.25,37106.0,28603.31,1.2973,37227.69,36779.12,37054.52
2023-11-13,714535176031.25,19541506.25,36565.0,28657.88,1.2759,37405.12,36399.61,36502.36
2023-11-15,693704337768.75,19542618.75,35497.0,28698.11,1.2369,37964.89,35383.78,37880.58
2023-11-16,730466265600.0,19543725.0,37376.0,28750.26,1.3,37934.62,35545.47,36154.77
2023-11-17,713914279362.5,19544837.5,36527.0,28793.68,1.2686,36704.48,35901.23,36596.68
2023-11-18,716554527000.0,19545950.0,36660.0,28836.38,1.2713,36839.28,36233.31,36585.7
2023-11-19,715715693437.5,19547062.5,36615.0,28883.98,1.2677,37509.36,36414.6,37386.55
